"filename", "language", "HTML", "JavaScript", "Excel", "JSON", "comment", "blank", "total"
"c:\xampp2\htdocs\NetworkedPIGMjs\OpCodes.xlsx", "Excel", 0, 0, 76, 0, 0, 0, 76
"c:\xampp2\htdocs\NetworkedPIGMjs\assets\maps\TestMap.js", "JavaScript", 0, 41, 0, 0, 0, 0, 41
"c:\xampp2\htdocs\NetworkedPIGMjs\assets\maps\TestMap.json", "JSON", 0, 0, 0, 717, 0, 0, 717
"c:\xampp2\htdocs\NetworkedPIGMjs\assets\tilesets\Debug.json", "JSON", 0, 0, 0, 300, 0, 0, 300
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\base.js", "JavaScript", 0, 92, 0, 0, 40, 15, 147
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\compCreator.js", "JavaScript", 0, 16, 0, 0, 0, 5, 21
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\component.js", "JavaScript", 0, 12, 0, 0, 8, 2, 22
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\animatorComponent.js", "JavaScript", 0, 18, 0, 0, 10, 3, 31
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\bulletComponent.js", "JavaScript", 0, 16, 0, 0, 10, 2, 28
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\buttonComponent.js", "JavaScript", 0, 10, 0, 0, 6, 0, 16
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\colliderComponent.js", "JavaScript", 0, 31, 0, 0, 16, 6, 53
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\doorComponent.js", "JavaScript", 0, 16, 0, 0, 14, 6, 36
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\enemyComponent.js", "JavaScript", 0, 18, 0, 0, 10, 1, 29
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\gunComponent.js", "JavaScript", 0, 16, 0, 0, 8, 2, 26
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\barrels\barrel.js", "JavaScript", 0, 11, 0, 0, 3, 0, 14
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\barrels\playerShotgunBarrel.js", "JavaScript", 0, 10, 0, 0, 3, 0, 13
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\barrels\playerSpreadBarrel.js", "JavaScript", 0, 10, 0, 0, 3, 0, 13
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\barrels\slowEnemyBarrel.js", "JavaScript", 0, 9, 0, 0, 3, 0, 12
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\barrels\standardBarrel.js", "JavaScript", 0, 3, 0, 0, 3, 1, 7
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\triggers\playerFastTrigger.js", "JavaScript", 0, 9, 0, 0, 3, 1, 13
"c:\xampp2\htdocs\NetworkedPIGMjs\engine\ecs\components\game\guns\triggers\playerSlowTrigger.js", "JavaScript", 0, 9, 0, 0, 3, 1, 13
